category,image_id,filename,class_label,behavior_description,severity_level,bounding_box_x,bounding_box_y,bounding_box_w,bounding_box_h,timestamp
normal_driving,8e9ec8c9-ab99-41ea-bd64-5e72c3212708,40aDXI8lVl,1,,1,1,1,1,1,2025-10-30T09:47:19.460Z
eyes_closed,dee09ffe-0e60-4984-a91c-16b11c23a859,oISHnQzOHm,8,,1,1,1,1,1,2025-02-02T17:42:29.640Z
drowsy_eyes,34bb0cf8-f7f2-45bd-a3b0-d076607caec9,GvPJsOhaLo,1,,3,1,1,1,1,2025-06-02T15:57:58.985Z
yawning,f2da6fa7-1e60-43d1-8b59-b738d960de95,Ias6RSu1yC,2,,5,1,1,1,1,2025-02-01T13:49:18.814Z
phone_use,3eefe8a3-fe88-41a6-b7b9-9e6e2a8b4963,5hrAsiJJ1G,5,,2,1,1,1,1,2025-09-13T16:49:23.911Z
phone_scroll,f40714c6-0d4f-4817-9fcc-c0cf4619d80b,2MEpqgesLB,7,,2,1,1,1,1,2025-04-23T12:19:11.344Z
drinking,97bc7bc5-7293-45d1-a5a9-c4cdb2c7d694,Q5mNVrIrnx,5,,5,1,1,1,1,2025-10-09T00:33:18.115Z
head_turned,f52ca98b-0718-4f54-ab4b-986b6e2b6b47,aGRj4QhxBi,3,,2,1,1,1,1,2025-03-14T11:26:00.137Z
no_seatbelt,8ca01765-7185-4145-b707-2458b633c482,zbIwXXOFGR,7,,3,1,1,1,1,2025-01-27T11:38:11.490Z
normal_driving,63386191-7cd0-4cac-9c68-d694eafcfec5,Kis7klfiqw,2,,5,1,1,1,1,2026-01-04T06:11:57.004Z
eyes_closed,bb47b406-0999-43cb-b82b-7b5dd997c56a,v9PcTzX1jY,5,,3,1,1,1,1,2025-03-21T11:23:47.043Z
drowsy_eyes,8ad029c5-b64d-44f9-9859-d7fd68dceb02,grU92FalHX,5,,1,1,1,1,1,2025-05-18T00:54:22.243Z
yawning,0e240624-56d6-4a79-8e6a-6c12988661e2,paf4LU1TzL,3,,4,1,1,1,1,2025-12-20T05:40:56.168Z
phone_use,59d5a145-a9c9-4ad9-9d08-9cb1c99b13d1,wMuSazx8qG,2,,3,1,1,1,1,2025-04-05T01:03:17.762Z
phone_scroll,24d8711c-6fe6-49c4-bb40-58f387815030,UVdAGKT6HX,1,,5,1,1,1,1,2025-03-06T19:13:31.806Z
drinking,00b3463b-76d0-4c4f-b334-8a411d36d787,2DGvLLHYZ1,3,,4,1,1,1,1,2025-07-25T09:57:17.621Z
head_turned,2c3db7ae-465d-4b2c-a3c4-26b5c16c820f,d0al0yul5s,1,,4,1,1,1,1,2025-12-06T06:58:45.388Z
no_seatbelt,8ebfcb04-d6c3-4ccb-9158-3766681a3a32,XiZdEHVpQK,7,,1,1,1,1,1,2025-10-30T19:53:38.110Z
normal_driving,050274cd-80f3-4844-8b6e-e5eaa743e5d1,wn69KGQpvx,3,,3,1,1,1,1,2025-12-30T16:08:43.378Z
eyes_closed,b81cf71e-ccb3-4a27-b50a-14a8b591cb46,sDSlNV5Y1F,4,,1,1,1,1,1,2025-10-12T00:49:50.306Z
drowsy_eyes,d5edff99-c114-4fcc-b484-13edfb7d802c,3GRz0a8ZfK,5,,4,1,1,1,1,2025-02-12T07:44:55.561Z
yawning,9f7db6fc-98bd-4c34-8bd2-5b7935102a38,uNfmNf0Fdc,6,,5,1,1,1,1,2025-06-19T22:44:58.719Z
phone_use,7bb0ca2f-7cf6-4e30-a3c7-1d83c2d1d9d9,yGPftPnH0J,6,,5,1,1,1,1,2025-11-14T03:00:35.722Z
phone_scroll,6114a688-8b95-4900-9df8-a6178ee0f8d1,Nr4fd2Hg26,3,,3,1,1,1,1,2025-10-25T03:10:55.897Z
drinking,b291d8e5-9dd6-4248-ae3b-b7ec54aa5a7d,5VmE5grpph,6,,3,1,1,1,1,2025-08-21T13:49:47.670Z
head_turned,21da5228-cb4d-414b-b38d-f486ac4554bf,7gVbOKzSUB,1,,5,1,1,1,1,2025-05-17T21:46:55.614Z
no_seatbelt,7abdd0aa-5062-4db6-9c71-8b0c6b8e8f6c,Ooi0VMMGfz,2,,4,1,1,1,1,2025-12-30T12:39:17.190Z
normal_driving,95704c54-8360-4dd9-befd-394b97f87c77,NQZRFKap2G,4,,4,1,1,1,1,2025-09-02T03:01:21.462Z
eyes_closed,e18b3a48-ab7c-473d-bc8f-6d8a05c2db2c,GJurWJGmGC,6,,5,1,1,1,1,2025-05-23T10:04:51.559Z
drowsy_eyes,9c584450-88ad-4733-82c7-6cee1840ac85,2o03io3u8D,8,,4,1,1,1,1,2025-07-11T05:27:17.825Z
yawning,67fe8873-f538-45ca-8889-e508a13ae6b4,yZdRbRz3y8,4,,5,1,1,1,1,2025-04-19T18:13:09.665Z
phone_use,d4cb4980-0efb-4da2-9521-8c031a2e0b5f,zXawOncpmG,8,,1,1,1,1,1,2025-08-25T05:12:27.691Z
phone_scroll,6f52bdc7-027a-47c6-9988-773d9f10d54a,TKW8W8x4lf,3,,5,1,1,1,1,2025-08-02T15:09:42.884Z
drinking,6450ac1c-b6fb-404a-9d93-52dbd41b205d,gqy7O6XaOK,8,,5,1,1,1,1,2025-02-15T12:11:47.637Z
head_turned,70ef5b9a-bef4-420e-9a0f-3b48f713aa45,CxQGMImePy,5,,1,1,1,1,1,2025-04-18T08:53:34.871Z
no_seatbelt,88527e02-41ba-4192-8e9a-5989ba3241c2,Cz0BWADzpk,6,,3,1,1,1,1,2025-04-14T03:38:30.832Z
normal_driving,4a5da39e-7813-4bfc-a90b-ca527d8d0564,ydD5IFbxMO,5,,4,1,1,1,1,2025-09-06T00:11:10.468Z
eyes_closed,ea0d9170-6bdd-4e42-8845-0bdcc6fcf3ec,vN10M1IATW,8,,4,1,1,1,1,2025-06-23T18:37:26.274Z
drowsy_eyes,3f9ed3e4-ccb3-4917-945f-a9b624383af2,e5BjVUoncD,7,,2,1,1,1,1,2025-11-23T12:24:52.387Z
yawning,3483ba3f-66db-4428-8e4b-efb62a0719ba,5JP1fi6oxk,4,,4,1,1,1,1,2025-10-29T07:54:51.061Z
phone_use,d0b8b323-4121-45f3-a6b2-e769cf7d3bfd,ZO1mR1fOjz,4,,3,1,1,1,1,2025-11-20T06:14:13.643Z
phone_scroll,27b6b7ee-59c9-49cd-bf82-bdaac523a58a,2B0lnE6PCp,1,,2,1,1,1,1,2025-11-23T01:20:28.284Z
drinking,ef2e5988-f5c8-4281-a262-d31df0323026,L30bEbP8S5,1,,2,1,1,1,1,2025-05-27T18:15:50.790Z
head_turned,e55d8986-3a37-4b8d-88ac-655eaac1eb51,Un5ixwIdCb,6,,4,1,1,1,1,2025-04-29T07:30:40.968Z
no_seatbelt,eee5b2b5-cdf8-4bfd-aaa3-c079002420fb,CWEoHIcMok,3,,5,1,1,1,1,2025-06-16T14:30:35.817Z
normal_driving,bda2ac74-abc0-46be-9f6e-94c4df0afc84,JeounbR8NW,3,,5,1,1,1,1,2025-07-06T16:17:33.694Z
eyes_closed,3297955a-6276-48b8-8bcb-d5abc1cb11cf,YW54ToacTa,5,,5,1,1,1,1,2025-07-05T18:14:15.606Z
drowsy_eyes,f667b4b9-c481-4223-b844-f9d841ab7010,4vR3cJfOrC,8,,3,1,1,1,1,2025-06-13T16:40:02.803Z
yawning,4d9fddd2-b877-4104-af94-18f73737b0d2,nM1gPlTfNc,6,,5,1,1,1,1,2025-08-29T05:42:43.658Z
phone_use,c80c1293-5318-4091-b898-0d5dcf8b2d09,cYY2X0Ydd0,8,,2,1,1,1,1,2025-01-28T08:32:19.061Z
phone_scroll,1196f081-cf7e-4292-b08a-1e6169cf719c,ChP5qpwcmm,8,,4,1,1,1,1,2025-08-04T04:37:26.339Z
drinking,0e77126b-81d6-4cac-854b-892e234be1aa,QcRdXOQPfN,1,,5,1,1,1,1,2025-01-30T10:46:49.166Z
head_turned,05795c7a-3799-480d-886e-c13ad2d232cb,oU6gn5RF8v,1,,1,1,1,1,1,2025-11-22T03:45:15.715Z
no_seatbelt,3a757c75-175b-43f8-be26-89cd9c83f1b6,ZpaUVnlkKN,3,,3,1,1,1,1,2025-09-05T05:42:38.185Z
normal_driving,25e06d52-77e2-4078-975c-ebc045c5eb94,TJk8f5302k,5,,2,1,1,1,1,2025-10-29T11:00:46.478Z
eyes_closed,ceee0185-c134-4cc7-a079-8dae6adb98f5,gzFeM6j9t9,1,,1,1,1,1,1,2025-02-22T03:03:23.592Z
drowsy_eyes,0e832cd9-a745-44a6-a64d-8e9364669a50,7rlGefi2P8,8,,3,1,1,1,1,2026-01-23T17:03:44.089Z
yawning,237b45ac-b404-44e2-9840-c60747fb9cc4,S8GClFRtIP,3,,1,1,1,1,1,2025-02-14T22:27:48.414Z
phone_use,51f42bc2-1f4b-4402-a7ab-d27c8455a2f7,ePz9zI5MiJ,1,,4,1,1,1,1,2025-08-30T18:58:45.223Z
phone_scroll,50b2d5b8-fb23-4661-8463-f90d23f680df,m6Q44jz0Hi,8,,4,1,1,1,1,2025-09-04T05:41:16.067Z
drinking,0035a35b-343e-419f-9d5c-4ca0cd9acfe1,y8wRhy4utT,7,,5,1,1,1,1,2025-05-20T07:40:46.317Z
head_turned,8422eb11-a61d-4e87-881b-349f8f6d5368,DAezjTYKuP,6,,5,1,1,1,1,2025-03-28T18:43:36.218Z
no_seatbelt,82bca02a-b038-47f1-bf86-1d30e36bfcba,yLYDD0w9YZ,3,,4,1,1,1,1,2026-01-14T00:54:52.114Z
normal_driving,9168324a-e221-4fab-87eb-f807ef227c95,CJE5j7Ronw,6,,2,1,1,1,1,2025-12-18T20:01:11.077Z
eyes_closed,eeba5a21-a5c7-40eb-9de0-d7ae891316ac,EaYGYKoNP8,8,,1,1,1,1,1,2025-06-17T16:20:53.723Z
drowsy_eyes,4b90d36f-067f-481a-b818-5866db50c823,VUM0bYT2Yj,4,,2,1,1,1,1,2025-11-04T19:59:59.294Z
yawning,a97b9be2-c21f-4891-978f-ea62e04ae780,4KxTk7jjMN,8,,4,1,1,1,1,2025-08-06T12:20:42.984Z
phone_use,c80e0d7a-91b4-4a20-9632-3932d80c7357,FsB4hYC57I,7,,3,1,1,1,1,2025-11-05T06:43:50.997Z
phone_scroll,88d8da91-94a2-4aa1-a3a0-dbfbd425b829,P0zXR5d9rE,3,,4,1,1,1,1,2025-02-20T08:25:03.427Z
drinking,384998ce-0cc3-4bdf-b88c-a404c9dedb5a,0goWO3P4Np,7,,5,1,1,1,1,2025-07-30T14:47:02.918Z
head_turned,07d2306c-e247-4a13-83d6-8ded6ec0f94b,cCeDBTgsI2,3,,3,1,1,1,1,2025-02-20T12:00:23.094Z
no_seatbelt,57e2f7ae-2804-4e25-82d7-2054298e3b79,0DieygLwiQ,6,,5,1,1,1,1,2025-04-02T22:58:25.110Z
normal_driving,50d31b69-cd38-4c20-a9e9-43a3653195c4,s85WlfqWi2,4,,4,1,1,1,1,2025-06-06T16:25:49.560Z
eyes_closed,027b382c-b547-41ac-a637-ea9d31a1845e,U4T7SLfkkK,7,,1,1,1,1,1,2025-04-05T12:46:38.991Z
drowsy_eyes,9ca9f25b-bed3-4e39-9ecb-011535c4ad18,RHiGvNzqpZ,2,,2,1,1,1,1,2025-10-28T08:05:18.553Z
yawning,10b37a02-4b65-4f4d-9bca-c38bfbd128d9,1FMLozuSCC,5,,3,1,1,1,1,2025-04-12T18:21:43.579Z
phone_use,a4e431db-f446-4773-95e8-59ec04d205ee,agPwTGxIjA,2,,2,1,1,1,1,2025-07-03T13:21:52.225Z
phone_scroll,962e686a-8bf0-40f0-afcf-7cf961489abd,tvNokWmfBs,2,,5,1,1,1,1,2025-07-10T21:48:40.278Z
drinking,fb982a64-bd34-4596-97b5-fab0ddc3bb29,OxhMqshdh6,6,,4,1,1,1,1,2026-01-05T12:58:26.221Z
head_turned,a57cc76f-acad-499f-b110-76b6f1a07f81,5OENINOO4c,8,,2,1,1,1,1,2025-05-18T09:17:38.085Z
no_seatbelt,edaf9db6-9860-403f-973c-5a0ecd777835,r2mQuK18nJ,5,,4,1,1,1,1,2025-02-01T14:00:16.258Z
normal_driving,70d3f72a-9954-4d7a-99ae-c69118092f01,ucw1aLo9L9,8,,5,1,1,1,1,2025-10-27T08:35:36.906Z
eyes_closed,d6e74c3f-50f6-49f2-8039-37f84651a28a,Tl32PzryWM,6,,2,1,1,1,1,2025-10-09T01:55:58.873Z
drowsy_eyes,0f4fdb32-82f8-4e6a-a104-87a39f8c1f36,RXJVHDMOrQ,6,,2,1,1,1,1,2025-11-25T02:20:33.463Z
yawning,dfa6d178-70ae-4684-ac16-39dbed8f0f11,SNNBYZuUAK,7,,3,1,1,1,1,2025-08-05T15:43:14.196Z
phone_use,067aa840-6d25-4f01-8d7f-cea993979761,VY1zHU4s7M,6,,5,1,1,1,1,2025-02-01T09:24:21.945Z
phone_scroll,22bb4dcf-53e8-42ef-be81-7f019faeb524,Q703MFkXhb,6,,2,1,1,1,1,2025-10-29T23:34:26.314Z
drinking,fbcc3a41-66f5-4a2c-8b92-b2288f272386,jPJBLiJ4Z3,2,,1,1,1,1,1,2025-07-27T16:33:37.561Z
head_turned,fa13b7d1-d095-4d2c-ad63-bc11fd8e6381,elpyEdGDh6,8,,3,1,1,1,1,2025-03-18T14:54:33.828Z
no_seatbelt,584adf25-94fb-4717-941d-3399e6e7ef4c,HI58NPSlay,2,,5,1,1,1,1,2025-06-10T15:19:23.512Z
normal_driving,0df5da73-1c9d-41dd-bc53-80408efb4d50,ocbr2oycGl,2,,2,1,1,1,1,2025-03-01T03:26:34.036Z
eyes_closed,e44431d6-ec96-458a-bca9-88ab7792ef02,vti6d2Z7V3,7,,3,1,1,1,1,2025-06-05T06:55:31.569Z
drowsy_eyes,a6590967-783c-457d-93e1-6066ceb8e7dd,n5iF618EBb,8,,2,1,1,1,1,2025-06-12T23:14:47.463Z
yawning,482a00d7-3882-465b-8cbe-36b55ddb3ea6,U8dOsFNCoB,5,,1,1,1,1,1,2025-05-30T16:40:31.545Z
phone_use,6810cfcc-355f-4820-85d9-3b4d64498dc2,tdT2yjNJyq,5,,5,1,1,1,1,2025-04-20T21:53:10.081Z
phone_scroll,b55d7ae8-cd72-473b-9b7e-a56f9aab1eff,UDmsWLdrS9,1,,5,1,1,1,1,2025-06-02T00:56:48.341Z
drinking,d1e19cec-f2c4-4a06-99d8-e1d7f174e517,JjtTFIp9Gv,1,,5,1,1,1,1,2025-02-23T11:50:44.672Z
head_turned,f548dcf9-f735-4e9c-a859-e23d6c46d0bd,KTtMluEtjh,8,,4,1,1,1,1,2025-08-15T01:39:22.861Z
no_seatbelt,ecf7c0cb-7af9-4859-aa5a-7916c8c78f24,FHopNz9Ws6,4,,5,1,1,1,1,2025-07-20T21:51:21.960Z
normal_driving,27b83490-dcb6-4d09-b614-60e8e597ea45,epppr9XypS,6,,5,1,1,1,1,2025-03-25T05:37:36.852Z
eyes_closed,6a455526-5db7-4c29-a622-f4fd8ad5158d,TQ4yiQngSw,3,,3,1,1,1,1,2025-07-28T04:30:47.457Z
drowsy_eyes,dbdea935-c3e0-403d-b8f1-081d15ef2873,xGustp4EzB,2,,3,1,1,1,1,2025-11-03T06:22:30.513Z
yawning,3e54395c-4626-40f2-a898-66bcdc2d498a,bhkDX0VnEr,1,,4,1,1,1,1,2025-07-08T11:03:16.365Z
phone_use,c1333459-1dd4-47bd-b67a-a0a216dc8117,93yGNTxP8c,1,,1,1,1,1,1,2025-08-15T20:20:30.423Z
phone_scroll,51cd5b2e-ae4c-45aa-932d-b4c95a57f7e6,ARP4YqVr0J,3,,1,1,1,1,1,2025-07-08T20:39:27.170Z
drinking,57d9e579-99cc-4f0c-85f3-d63b774c6c85,TKA7L2ZrcJ,4,,2,1,1,1,1,2025-01-31T02:00:45.215Z
head_turned,08527d0d-d234-429b-9703-b3e46a134dd6,HMxLK8gH5W,2,,5,1,1,1,1,2025-04-25T02:30:21.824Z
no_seatbelt,e1649d44-eec0-49cc-983f-e9573433c4fe,VvVySIhC6P,3,,3,1,1,1,1,2025-08-29T20:52:31.441Z
normal_driving,3bafca99-1c90-4946-94d8-b9e5082f1fbc,9tjhJ4Vu2P,5,,3,1,1,1,1,2025-06-28T16:26:15.628Z
eyes_closed,72273fb8-472a-46cc-9449-b05cd7fb7b13,yaLIbuGfyY,8,,1,1,1,1,1,2025-11-06T03:35:37.636Z
drowsy_eyes,380b5553-06da-4d9c-987b-e0d6925cf097,2sI64Pv8Zz,4,,2,1,1,1,1,2025-02-19T16:12:46.250Z
yawning,4763e26f-017a-426e-bd6e-4284623ce2ba,B0GpCaoNCw,6,,3,1,1,1,1,2025-06-22T07:59:26.760Z
phone_use,40d45f73-f8aa-44c8-8f6f-9dc749adefe1,SYZnPdhFsw,7,,5,1,1,1,1,2025-01-28T12:44:47.691Z
phone_scroll,da3b69ac-8775-4a74-80d0-a9b873ad9f38,0YxKkz6ENv,1,,1,1,1,1,1,2025-11-05T22:16:11.592Z
drinking,df81a69d-be2d-4fac-b6c7-b082273f8846,zVbT125pdB,8,,5,1,1,1,1,2025-08-30T03:21:44.574Z
head_turned,b0ed6be9-6f73-4a90-a324-34e226e4d4dc,OgmE0POzpx,1,,4,1,1,1,1,2025-06-17T17:30:17.218Z
no_seatbelt,0d594482-33c9-40f8-a77b-7c362ed1eed3,nZNvCJeNV3,6,,4,1,1,1,1,2025-08-06T16:42:50.292Z
normal_driving,48dd5cc2-235f-4846-8523-d2bccf6546cc,baEWQMMlV3,6,,2,1,1,1,1,2025-09-21T12:47:05.193Z
eyes_closed,5e7d0d45-740c-430c-b20c-c4816f03231d,9qKHCMSyEv,2,,1,1,1,1,1,2025-11-22T15:36:11.493Z
drowsy_eyes,202f95de-593d-41ad-9481-4755ccf28c5b,hh65zbGwOb,7,,2,1,1,1,1,2025-08-28T08:04:54.942Z
yawning,83346856-8742-44b5-b550-a1a4eeab17b3,KLTiy6tzXY,3,,3,1,1,1,1,2025-04-19T13:06:20.193Z
phone_use,7c7b6dfb-f838-4164-b6b2-fb96a59d2924,It8JxRRtSn,1,,3,1,1,1,1,2025-06-20T23:59:20.003Z
phone_scroll,dc21b222-64d4-49a8-a464-5c6f9f751d34,BYhoPVXlsb,2,,2,1,1,1,1,2025-05-09T05:05:34.739Z
drinking,f36b4ebb-68d6-425b-892d-7169383a5b0a,l9re6jn7CY,2,,3,1,1,1,1,2025-09-09T10:02:08.518Z
head_turned,2a0512df-18de-42d5-97eb-1a47f0d2443b,tbkycWdGTq,3,,3,1,1,1,1,2026-01-18T20:12:03.023Z
no_seatbelt,768e9197-426d-419d-b692-568b0bd4a3b0,gzFMFdgEYm,8,,3,1,1,1,1,2025-02-20T02:47:00.441Z
normal_driving,f61b0224-c099-4573-978b-495fee916549,xsZOJxhgwe,6,,5,1,1,1,1,2025-08-14T15:00:43.007Z
eyes_closed,2d2c3e3f-2103-4adf-b14e-e554cf535f3c,WBfLUyp7MZ,6,,4,1,1,1,1,2025-11-18T10:59:09.783Z
drowsy_eyes,c070643c-2887-400b-8c76-0b73943b5ea5,XTRAmuyH1q,4,,3,1,1,1,1,2025-04-25T17:53:34.008Z
yawning,679d106c-266d-48b1-a525-671c6eb879a1,DfoV2oUEjH,7,,2,1,1,1,1,2025-02-17T15:09:52.045Z
phone_use,fc6265ff-8c52-45f0-957e-62b445b48e4a,NVYnDOxQUR,8,,5,1,1,1,1,2025-03-11T17:29:50.933Z
phone_scroll,59857aa8-61ce-45b5-96c8-96005ea63343,gbtJDFw122,5,,4,1,1,1,1,2025-02-07T12:43:18.697Z
drinking,ca1bf633-25c4-46d8-8de1-6c5e1a9b1a50,rGQfidyyYO,6,,5,1,1,1,1,2025-09-23T03:46:07.267Z
head_turned,5747d36a-879e-4221-8358-9c8da6dca55b,HJQYNmVvac,8,,3,1,1,1,1,2025-06-05T09:42:41.148Z
no_seatbelt,5ea7e4a3-095f-45ca-b64c-2aabde2bd70f,TkOIFIbd0e,8,,5,1,1,1,1,2025-12-27T05:13:07.401Z
normal_driving,a9be0ffa-840e-46fb-9630-6468ae23ea2a,FbHI0cVpqS,5,,4,1,1,1,1,2025-09-23T10:28:01.314Z
eyes_closed,fec86814-baca-44bd-8936-199c0d32a1fe,uArHm8TAO5,7,,2,1,1,1,1,2025-09-20T06:01:14.791Z
drowsy_eyes,6394e096-3f5c-42af-ac90-e85d8b50bc38,hsiXKZxsvk,4,,2,1,1,1,1,2025-12-30T04:12:56.695Z
yawning,b901f90a-1d09-4138-8c79-23aeb5757866,WrtaW4Vho3,8,,2,1,1,1,1,2025-05-23T23:04:02.280Z
phone_use,f55ca9de-8e38-4119-a5de-be6db3266acc,Bw4Wah63za,2,,4,1,1,1,1,2025-02-23T13:04:47.814Z
phone_scroll,e7ea9216-c9b1-470c-acfc-cb52b75be613,4qp3uKdBwg,3,,1,1,1,1,1,2025-10-17T13:49:34.795Z
drinking,20a47397-cf62-4c17-859a-6dd2dbf2f0e8,KJAOcZlBq1,1,,5,1,1,1,1,2025-05-15T07:59:01.558Z
